,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
0,692496594239930368,RT @PaulNBlake: When in history has an epidemic become so alarming that a nation urges its people not to have kids for 2 years? https://t.c…,162,0,Twitter for iPhone,2016-01-27 23:57:08,1054556106,Freddyismybish,king 2k,2013-01-02 08:43:15,#shmoney #longlivelilsnupe,124,232,Earth,Central Time (US & Canada)
1,692493412784799744,"#Nursing #Job in #CharterTownshipofClinton, MI: UltraCare HT RN 1 Clinton MI at Fresenius Medical Care https://t.co/bDfkmomNwe #Jobs",0,0,TweetMyJOBS,2016-01-27 23:44:30,3255855240,FMCNAJobs,Fresenius Careers,2015-06-25 19:53:32,,201,27,United States,
2,692491477268717568,"This #Nursing #job might be a great fit for you: ICU (Step Down)/MedSurg - https://t.co/lJTKEkyEEL #Clinton, OK #Hiring",0,0,TweetMyJOBS,2016-01-27 23:36:48,234960361,TravelNurseWork,TravelNursesPHP,2011-01-07 00:50:02,Premier Healthcare Professionals is an industry leader in domestic & international healthcare staffing. We have a client base of thousands of hospitals.,4502,4832,"Atlanta, GA",Central Time (US & Canada)
3,692484629991915521,"Can you recommend anyone for this #job? Utility - CLI Mfg - Evergreen - Plant H5 - 1st or 2nd Shift - https://t.co/wTDbtpCuh9 #Clinton, SC",0,0,SafeTweet by TweetMyJOBS,2016-01-27 23:09:36,903926353,ShawFloorsJobs,Shaw Floors Jobs,2012-10-25 13:34:23,Home of the world's largest carpet manufacturer and thousands of great jobs! Come grow your career with us!,236,11,US and Canada,Eastern Time (US & Canada)
4,692483804112523265,"We're #hiring! Click to apply: Store Counter Sales - https://t.co/bMRwZMpZFc #Retail #CLINTON, UT #Job #Jobs #CareerArc",0,0,TweetMyJOBS,2016-01-27 23:06:19,59989716,tmj_ut_retail,TMJ-UT Retail Jobs,2009-07-25 05:23:13,Follow this account for geo-targeted Retail job tweets in Utah Non-Metro. Need help? Tweet us at @CareerArc!,331,300,Utah,Central Time (US & Canada)
5,692481556129124352,End of the workday prettiness! genejamess @thea2930 @ William Jefferson Clinton Federal Building https://t.co/X5a26EkhWX,0,0,Instagram,2016-01-27 22:57:23,419172871,necworld7,Nancy E. Coviello,2011-11-23 01:46:58,"Work for the EPA, but all Tweets are my own...",151,322,Somewhere in Wonkland,America/New_York
6,692478446585389061,"See our latest #Clinton, TN #job and click to apply: Retail Store Positions - https://t.co/Mmnj0Ya6Eq #Retail #Hiring #CareerArc",0,0,TweetMyJOBS,2016-01-27 22:45:01,59989371,tmj_tn_retail,TMJ-TN Retail Jobs,2009-07-25 05:21:08,Follow this account for geo-targeted Retail job tweets in Tennessee Non-Metro. Need help? Tweet us at @CareerArc!,399,300,Tennessee,Central Time (US & Canada)
7,692478225918877696,"Join the Shaw Industries team! See our latest #Labor #job opening here: https://t.co/N2pOcOa8wH #Clinton, SC #Hiring",0,0,SafeTweet by TweetMyJOBS,2016-01-27 22:44:09,903926353,ShawFloorsJobs,Shaw Floors Jobs,2012-10-25 13:34:23,Home of the world's largest carpet manufacturer and thousands of great jobs! Come grow your career with us!,236,11,US and Canada,Eastern Time (US & Canada)
8,692477346197196800,"The gray, dirty Jonas ❄ aftermath isn't so bad from 50 ft up. @ Clinton Hill Neighborhood https://t.co/bwK1vV5SNy",0,0,Instagram,2016-01-27 22:40:39,165842350,lizadarwin,liza darwin,2010-07-12 17:47:49,writer and co-founder of Clover,2500,955,"Brooklyn, New York",Atlantic Time (Canada)
9,692476977119416320,"💥💥💥 @ Clinton Hill, Brooklyn https://t.co/YangSxuZEl",0,0,Instagram,2016-01-27 22:39:11,632003,caseymlewis,Casey Lewis,2007-01-14 01:19:57,writer and co-founder of Clover // caseymorrowlewis at gmail,3609,484,Brooklyn,Central Time (US & Canada)
10,692475009730744320,"I'm at Romeo Plank Double Roundabout in Clinton Township, MI https://t.co/6zU7YsRYoF",0,0,Foursquare,2016-01-27 22:31:22,30773956,JacekWos,Jacek,2009-04-13 01:36:26,Just a poor and stupid mailman near Detroit.,58,162,"Clinton Twp., MI",Eastern Time (US & Canada)
11,692474202692149248,"I'm at Cass Avenue &amp; Groesbeck Hwy in Clinton Township, MI https://t.co/HI9l3089p3",0,0,Foursquare,2016-01-27 22:28:10,30773956,JacekWos,Jacek,2009-04-13 01:36:26,Just a poor and stupid mailman near Detroit.,58,162,"Clinton Twp., MI",Eastern Time (US & Canada)
12,692471166787780608,"🍻😃 (@ SCS Moose Lodge #1837 in Clinton Township, MI) https://t.co/IFDqiSSY7p",0,0,Foursquare,2016-01-27 22:16:06,30773956,JacekWos,Jacek,2009-04-13 01:36:26,Just a poor and stupid mailman near Detroit.,58,162,"Clinton Twp., MI",Eastern Time (US & Canada)
13,692470786192494592,"Game Day in South Carolina vs Clinton support @ Rock Hill, South… https://t.co/nOCNGz5meb",0,0,Instagram,2016-01-27 22:14:35,2253710765,zotyson1,Go By Zo Tyson,2013-12-31 07:17:05,Instagram : @just1zo,1353,1004,wilimington nc,
14,692469596692037632,"Want to work at Compass Group USA? We're #hiring in #Clinton, NY! Click for details: https://t.co/AhIynNgnWC #Hospitality #Job #Jobs",0,0,TweetMyJOBS,2016-01-27 22:09:51,88269271,tmj_ny_hrta,TMJ-NY HRTA Jobs,2009-11-07 20:55:56,Follow this account for geo-targeted Hospitality/Restaurant/Tourism job tweets in New York Non-Metro. Need help? Tweet us at @CareerArc!,447,289,New York,Eastern Time (US & Canada)
15,692469036639260673,"Physician - MedExpress: (#Clinton, MD) https://t.co/pPKylDYQvw #Physician #Veterans #Job #Jobs #Hiring #CareerArc",0,0,TweetMyJOBS,2016-01-27 22:07:38,71179284,tmj_dc_physici,DC Physician Jobs,2009-09-03 05:15:34,Follow this account for geo-targeted Physician job tweets in DC Metro from TweetMyJobs. Need help? Tweet us at @TweetMyJobs!,113,97,DC Metro,Eastern Time (US & Canada)
16,692467737801703425,"Try https://t.co/jk98ruvuce Baked Virginia Ham with Pineapple Sauce, Oven Roasted Chicken, Fresh or Smoked Polish #Sauce #menu",0,0,dine here,2016-01-27 22:02:28,421095102,dine_here,DineHere.us,2011-11-25 14:02:07,The simple dining guide,4282,875,"New York, USA",Central Time (US & Canada)
17,692463853540655104,I had a great time speaking to this awesome group of students p7club_cahs today! Thanks for the… https://t.co/PTZyWgpWDR,0,3,Instagram,2016-01-27 21:47:02,567743172,Clinton_Fisher,Clinton Fisher,2012-04-30 23:40:37,,157,224,,Pacific Time (US & Canada)
18,692461893617893380,"#225 Clinton Retail Co-Manager - Hobby Lobby: (#Clinton, IA) https://t.co/oKKGZgp9Xv #Retail #Job #Jobs #Hiring https://t.co/ZgcnQeWEww",0,0,SafeTweet by TweetMyJOBS,2016-01-27 21:39:15,3003553487,HobbyLobbyJobs,Hobby Lobby Jobs,2015-01-28 17:30:39,"Hobby Lobby is an industry leading retailer offering more than 70,000 arts, crafts, hobbies, home décor, holiday, and seasonal products. #jobs #careers",360,235,,
19,692458736418426880,Opened Snow / Icy Conditions request via iPhone at 701–703 S Clinton St https://t.co/l1glqWhuq6. Business failed to remove snow from side...,0,0,Baltimore 311,2016-01-27 21:26:42,199324673,baltimore311,Baltimore City 311,2010-10-06 15:44:00,Baltimore City 311,1352,53,"Baltimore, Maryland USA",Eastern Time (US & Canada)
20,692458449108627457,"Pharmacy Technician - CVS Health: (#Clinton, SC) https://t.co/ufoIgMQeiz #Healthcare #Job #Jobs #Hiring",0,0,SafeTweet by TweetMyJOBS,2016-01-27 21:25:34,563319506,CVSHealthJobs,CVS Health Jobs,2012-04-26 00:56:29,,492,3,,Hawaii
21,692456242996985858,RT @PaulNBlake: When in history has an epidemic become so alarming that a nation urges its people not to have kids for 2 years? https://t.c…,162,0,Twitter for iPhone,2016-01-27 21:16:48,145361565,__MaryEllen,me,2010-05-18 19:55:05,RIP James Foley ~ Every saint has a past and every sinner has a future - OW #BlackIrish #BlackDogs #JesuitsMakeLifeBetter,3141,3125,Birmingham ,Central Time (US & Canada)
